end_time_s,background_filtered_target_amp,without_filtered_target_amp,with_filtered_target_amp
19.5,3.852438560813758e-10,0.40002036348726056,0.24912964681162206
19.6,1.2194546258996658e-09,0.37505826771633954,0.19522583878415303
19.7,4.603125639654262e-10,0.3739945810588933,0.21244628869863721
19.8,1.4161870754438876e-09,0.3659720901269871,0.2112250581124755
19.9,5.507338621422013e-10,0.3454898140392245,0.21464501464643346
20.0,1.65668671094414e-09,0.30975176392439596,0.2747578611104203
20.1,6.609611936878119e-10,0.3211074617336484,0.24516561703912168
20.2,1.9528191305379424e-09,0.3584096899065689,0.23743818439191888
20.3,7.969451628492621e-10,0.37735869707126873,0.23039589911106048
20.4,2.320460965080923e-09,0.3732214767410687,0.20366893759953844
20.5,9.667510206242325e-10,0.34459885519601635,0.23491586281808863
20.6,2.7811129587366575e-09,0.3782999656034108,0.25266333808079483
20.7,1.1814774025578285e-09,0.3787485754027544,0.24660173350038947
20.8,3.364286703662811e-09,0.3317631454989352,0.2485196037344204
20.9,1.4566476633664988e-09,0.3114694730069807,0.2601512553863751
21.0,4.11109969896366e-09,0.30017973591305586,0.2120815860719344
21.1,1.8143594980470644e-09,0.2928466088620322,0.1721356085702407
21.2,5.0797991594554754e-09,0.2924886590284602,0.15813323697326775
21.3,2.2866803883563864e-09,0.31075293958345357,0.16748265054091113
21.4,6.354438297326119e-09,0.3093270564262797,0.20455722116330294
21.5,2.9211436204164136e-09,0.3024069756368312,0.20767585301492833
21.6,8.058842743427846e-09,0.3122786832663627,0.22528040806868968
21.7,3.789889366045454e-09,0.31456421490716535,0.2654773329555855
21.8,1.0379718750916033e-08,0.3134393733516885,0.23469468764663148
21.9,5.005336258623465e-09,0.3170190078471864,0.20105845131711064
22.0,1.3606090332009e-08,0.2874157109578349,0.24138081149322768
22.1,6.747980799654924e-09,0.26582992837862235,0.25357492828563344
22.2,1.8199016817689577e-08,0.2551380819084233,0.2622804362206831
22.3,9.317651781189183e-09,0.25504943437573174,0.2741415489166942
22.4,2.491992718638272e-08,0.26280365335129824,0.2335389105398374
22.5,1.3232275316089385e-08,0.21092936102357662,0.20326175067790914
22.6,3.5078214002161383e-08,0.21493110889071498,0.1943270140188347
22.7,1.94281457361447e-08,0.26149397551802106,0.1841891785603699
22.8,5.1036073446843034e-08,0.26333011412200624,0.19057965745192576
22.9,2.9690961201492596e-08,0.25795104449876083,0.20484762668767428
23.0,7.730834575861255e-08,0.24328621703525685,0.22864786913633942
23.1,4.76514422104741e-08,0.23277725077280775,0.24025879835397165
23.2,1.2316084181747354e-07,0.22779654095577292,0.13667660077317223
23.3,8.128962236189113e-08,0.22274553169426625,0.1606005003160588
23.4,2.0940739077046316e-07,0.22078550377264125,0.23796818102208545
23.5,1.4993096087955783e-07,0.2132391659155124,0.2476134680707705
23.6,3.8872310446116157e-07,0.19878643570850152,0.24437179563921077
23.7,3.065585149408981e-07,0.19652878108433872,0.2055123089883941
23.8,8.186117976325689e-07,0.18072524435043844,0.2277823300787412
23.9,7.22245662211332e-07,0.18430037970527796,0.24421724527908284
24.0,2.1076048015584767e-06,0.21652493171878465,0.23375809270285886
24.1,2.0830653162849876e-06,0.22522512401747316,0.24967475317719262
24.2,8.029134281867463e-06,0.23905471932046166,0.2425071703885589
24.3,7.641297090048102e-06,0.22545653353400671,0.2466403032435831
24.4,0.00011872487000716909,0.20711369742365085,0.22530420120850336
24.5,0.0005292465873201993,0.2055325277065357,0.23549243609088985
24.6,0.010334697605205785,0.22333834924791454,0.2936171906206665
24.7,0.019489314675754585,0.25329548210346914,0.30802335149486537
24.8,0.06831292746508692,0.2924706498508569,0.2627525187948002
24.9,0.08164620862162812,0.2680884047574919,0.22363035655593605
25.0,0.030600121209016114,0.26919851834940867,0.2393777435371898
25.1,0.013603379761641925,0.28780598757264614,0.2731235734104062
25.2,0.036223642842906995,0.29530738030857107,0.25500215047314195
25.3,0.025638974147178365,0.3218995106445544,0.2396103398280886
25.4,0.01092064300646202,0.3075598071639651,0.28403068472815124
25.5,0.005230957575268982,0.3004645754489329,0.32952600229304674
